kernel_size;number_repeat;overall_acc;average_acc
1.0;1.0;0.9121004566210046;0.8978619399048315
1.0;2.0;0.9157787924911212;0.8862590693208086
1.0;3.0;0.9147640791476408;0.8859310524783036
1.0;4.0;0.8963723997970574;0.86019078177214
2.0;1.0;0.9081684424150177;0.9076256951685693
2.0;2.0;0.9019533231861999;0.8691268021437626
2.0;3.0;0.9099441907661086;0.8900204071087754
2.0;4.0;0.9011922881785895;0.8947197757862729
3.0;1.0;0.8997970573313039;0.8956141806998555
3.0;2.0;0.8935819381024861;0.8764787881419255
3.0;3.0;0.8862252663622526;0.8701179137537585
3.0;4.0;0.9025875190258752;0.8782370831329168
4.0;1.0;0.8996702181633688;0.8977938529558517
4.0;2.0;0.891045154743785;0.8883731974962424
4.0;3.0;0.8849568746829021;0.855076278341615
4.0;4.0;0.884703196347032;0.8600543859984405
